group,kind,path,exists,size_or_files,why_as_recorded,generator,contract_tests,cited_by
규칙·현재 상태,규칙,GO2_NOW.md,YES,39629,"2026-09-21: A041 INTERNAL_GATE_FAIL, A033 유지. 공동 목표 계획: `workspace/training/quadruped/upload/plan/GO2_FORWARD_STAIRS_POLICY_20260921.md` — 그 계획의 첫 실험을 **패키지로 만들었다** — **G-A042**(`track_lin_vel_xy_exp`",build_go2_training_length_package.py;go2_claim_check.py;go2_fact_rules_spec.py;go2_open_decisions.py;go2_reference_compa,test_go2_canonical_consistency.py;test_go2_claim_check_contract.py;test_go2_policy_text_contract.py;test_go2_reference_compass_contract.py;test_go2_reward_mecha,AGENTS.md;GO2_A038_REREAD_20260919.md;GO2_ANG_VEL_RELAX_AUDIT_20260920.md;GO2_OPEN_DECISIONS.md;GO2_POST_A029_PLAN_POLICY_AUDIT_20260914.md;GO2_PROJECT_STATE.md;GO2_REFERENCE_COMPASS.md;GO2_REWARD_EVI
규칙·현재 상태,규칙,GO2_REWARD_EVIDENCE_MASTER.md,YES,85066,"2026-09-21 G-A041 회수 판독 반영: 산출물은 검증됐고(ARTIFACT_VERIFIED) 판정은 **INTERNAL_GATE_FAIL**이다(artifact/stage faults `0`, sentinel `5`/`5`). 10cm 오르기 ≥1단 `90`→`34`/96 · ≥2단 `43`→`8`/96, 자세 포함 낙상 `34`→`93`/96. ",build_go2_candidate_package.py;build_go2_g_a030_package.py;build_go2_training_length_package.py;go2_claim_check.py;go2_o,test_go2_canonical_consistency.py;test_go2_claim_check_contract.py;test_go2_detectability_gate.py;test_go2_plan_assessment_contract.py;test_go2_policy_text_cont,AGENTS.md;ARTIFACT_MANAGEMENT.md;GO2_CAMPAIGN_SCHEDULE.md;GO2_DESIGN_REVIEW_260907.md;GO2_EVALUATION_PROTOCOL.md;GO2_INDEPENDENT_AUDIT_CODEX_260907.md;GO2_NOW.md;GO2_OPEN_DECISIONS.md;GO2_OPUS_REAUDIT
규칙·현재 상태,규칙,GO2_PROJECT_STATE.md,YES,323234,험지 전진 보존과 계단 정체 감소를 공동 목표로 설정. A033 유지; track 1.5→1.6은 OUT_OF_RANGE 정보 실험 계획이며 성능 채택이 아님. 옆걸음·밀침 악화 반대 근거를 보존하고 FAIL과 무관한 10/15cm 필수 회수를 요구. 패키지 미발행·서버 미실행. 계획: `workspace/training/quadruped/upload/pl,build_go2_track_lin_vel_120_package.py;build_go2_tuning_engine.py;go2_claim_check.py;go2_defect_ledger.py;go2_reference_,test_go2_claim_check_contract.py;test_go2_plan_assessment_contract.py;test_go2_policy_text_contract.py;test_go2_report_first_contract.py;test_go2_run_ledger_con,AGENTS.md;ARTIFACT_MANAGEMENT.md;GO2_CAMPAIGN_SCHEDULE.md;GO2_CODEX_REPAIR_REVIEW_FOR_OPUS_260908.md;GO2_DEFECT_LEDGER.md;GO2_DESIGN_REVIEW_260907.md;GO2_INDEPENDENT_AUDIT_CODEX_260907.md;GO2_NOW.md;G
규칙·현재 상태,규칙,ARTIFACT_MANAGEMENT.md,YES,90144,"- 상태: PLANNED → RUNNING → RECEIVED. 사용자 제공 `workspace/_keep/GO2_G_A041_RESULT.zip` 및 campaign ZIP, SHA, 풀린 폴더를 검사한다. 외부 실행은 회수 로그로 확인하며 기존 정본에 덮어쓰기/병합하지 않는다.",go2_claim_check.py;go2_reference_compass.py;update_go2_report_first_contract.py,test_go2_canonical_consistency.py;test_go2_claim_check_contract.py;test_go2_report_first_contract.py,AGENTS.md;CAMPAIGN_SCHEDULE.md;GO2_INDEPENDENT_AUDIT_CODEX_260907.md;GO2_NOW.md;GO2_REFERENCE_COMPASS.md;H1_REWARD_EVIDENCE_MASTER.md;NEW_SESSION_HANDOFF.md;OPUS_GO2_REAUDIT_PROMPT_260907.md;PROJECT_S
규칙·현재 상태,규칙,AGENTS.md,YES,48581,"이 파일은 상위 OMX `AGENTS.md`를 대체하지 않고, 이 저장소의 예선 기획·분석·보고 응답에 추가로 적용한다.",build_go2_track_lin_vel_120_package.py;go2_claim_check.py;go2_defect_ledger.py;go2_reference_compass.py;update_go2_repor,test_go2_canonical_consistency.py;test_go2_evidence_role_contract.py;test_go2_policy_text_contract.py;test_go2_report_first_contract.py;test_go2_reward_mechanis,ARTIFACT_MANAGEMENT.md;CAMPAIGN_SCHEDULE.md;GO2_DEFECT_LEDGER.md;GO2_DESIGN_REVIEW_260907.md;GO2_G_A029_TUNING_AUDIT_20260914.md;GO2_INDEPENDENT_AUDIT_CODEX_260907.md;GO2_NOW.md;GO2_OPUS_REAUDIT_COMPA
규칙·현재 상태,규칙,workspace/training/quadruped/AGENTS.md,YES,24069,데이터 정리·집계표 인용·튜닝 정책 판단 전 `GO2_DATA_STANDARD.md`와 `config/go2_evidence_data_dictionary.json`을 확인한다.,build_go2_track_lin_vel_120_package.py;go2_claim_check.py;go2_defect_ledger.py;go2_reference_compass.py;update_go2_repor,test_go2_canonical_consistency.py;test_go2_evidence_role_contract.py;test_go2_policy_text_contract.py;test_go2_report_first_contract.py;test_go2_reward_mechanis,ARTIFACT_MANAGEMENT.md;CAMPAIGN_SCHEDULE.md;GO2_DEFECT_LEDGER.md;GO2_DESIGN_REVIEW_260907.md;GO2_G_A029_TUNING_AUDIT_20260914.md;GO2_INDEPENDENT_AUDIT_CODEX_260907.md;GO2_NOW.md;GO2_OPUS_REAUDIT_COMPA
회차 원장,측정,workspace/training/quadruped/reports/runs/ARM_DELTAS.csv,YES,5233,"열: kind,from,to,cases,instrument_from,instrument_to,delta_70",build_go2_run_reports.py,test_go2_claim_check_contract.py;test_go2_plan_assessment_contract.py,GO2_REFERENCE_COMPASS.md;GO2_TUNING_POLICY_READOUT_20260918.md;build_go2_run_reports.py;go2-analyst.md;go2-auditor.md;go2-planner.md
회차 원장,이득구간,workspace/training/quadruped/reports/runs/BASELINE_MARGIN.csv,YES,966,시나리오별 재표집 표준편차(delta_resample_sd) — 사전 등록 한도의 출처,go2_axis_bottleneck.py;go2_eval_resolution.py;go2_fact_rules_spec.py;go2_reference_compass.py;go2_role_regression.py;go2,test_go2_a033_reward_campaign_contract.py;test_go2_claim_check_contract.py;test_go2_g_a038_campaign_contract.py;test_go2_g_a039_campaign_contract.py;test_go2_g_,GO2_A038_REREAD_20260919.md;GO2_AXIS_BOTTLENECK.md;GO2_PROJECT_STATE.md;GO2_REFERENCE_COMPASS.md;GO2_ROLE_REGRESSION_CASES.md;GO2_ROLE_SITUATION_EXAM.md;GO2_SEED_SENSITIVITY.md;GO2_STAIRS_BEHAVIOR_ANA
회차 원장,예측,workspace/training/quadruped/reports/runs/DIAL_MODEL.csv,YES,3120,반박된 모델(REFUTED_BY_G_A038) — 근거로 쓰지 않는다,go2_dial_model.py;go2_reference_compass.py;go2_table_audit.py,test_go2_claim_check_contract.py;test_go2_detectability_gate.py,GO2_REFERENCE_COMPASS.md;GO2_TUNING_POLICY_READOUT_20260918.md;go2-analyst.md;go2-auditor.md;go2_dial_model.py;go2_reference_compass.py;go2_table_audit.py
회차 원장,측정,workspace/training/quadruped/reports/runs/LEDGER.csv,YES,8184,"열: seq,occurred,run,kind,track_lin_vel_xy_exp,feet_air_time,lin_vel_z_l2,ang_vel_xy_l2,action_rate_l2,flat_orientation_l2,i",build_go2_run_reports.py;go2_role_regression.py;go2_role_situation_exam.py,test_go2_ang_vel_relax_audit_contract.py;test_go2_claim_check_contract.py;test_go2_detectability_gate.py,GO2_A038_REREAD_20260919.md;GO2_ANG_VEL_RELAX_AUDIT_20260920.md;GO2_REFERENCE_COMPASS.md;GO2_ROLE_REGRESSION_CASES.md;GO2_ROLE_SITUATION_EXAM.md;GO2_RUN_SYNTHESIS_20260916.md;GO2_TUNING_POLICY_READOUT
회차 원장,측정,workspace/training/quadruped/reports/runs/SCENARIO_SCORES.csv,YES,1763,"열: run,arm,instrument,G1,G2,G3,G4,G5,G6,G7,total_70,tracking_xy_rmse_mean,G1_deduction,G2_deduction,G3_deduction,G4_deducti",build_go2_run_reports.py;go2_claim_check.py;go2_table_audit.py,test_go2_axis_bottleneck_contract.py;test_go2_claim_check_contract.py;test_go2_stairs_behavior_contract.py,GO2_NOW.md;GO2_REFERENCE_COMPASS.md;GO2_STAIRS_BEHAVIOR_ANALYSIS_20260916.md;GO2_TUNING_POLICY_READOUT_20260918.md;build_go2_run_reports.py;go2-analyst.md;go2-auditor.md;go2-planner.md;go2_claim_check
회차 원장,측정,workspace/training/quadruped/reports/runs/TERRAIN_AT_PIN.csv,YES,3723,"열: run,iteration,terrain,terrain_mean_last10",build_go2_run_reports.py;build_go2_training_length_campaign.py;go2_g_a038_readout.py;go2_role_regression.py;go2_seed_sen,test_go2_canonical_consistency.py;test_go2_g_a038_readout_contract.py;test_go2_plan_assessment_contract.py,GO2_A038_REREAD_20260919.md;GO2_G_A038_READOUT.md;GO2_NOW.md;GO2_REFERENCE_COMPASS.md;GO2_ROLE_REGRESSION_CASES.md;GO2_TUNING_POLICY_READOUT_20260918.md;build_go2_run_reports.py;build_go2_training_len
회차 원장,이득구간,workspace/training/quadruped/reports/runs/TIER1_REGRESSION.csv,YES,947,tier1 비열등 한도 대비 회귀,go2_reference_compass.py;go2_table_audit.py;go2_tier1_regression.py,test_go2_claim_check_contract.py,GO2_REFERENCE_COMPASS.md;go2_reference_compass.py;go2_table_audit.py;go2_tier1_regression.py
회차 원장,문서,workspace/training/quadruped/reports/runs/INDEX.md,YES,4532,`workspace/_keep` 산출물에서 생성했다. 판정은 담지 않는다 — 측정만 담는다.,build_go2_run_reports.py;go2_claim_check.py;go2_reference_compass.py;go2_seed_sensitivity.py,test_go2_plan_assessment_contract.py,GO2_NOW.md;GO2_REFERENCE_COMPASS.md;GO2_REWARD_EVIDENCE_MASTER.md;GO2_RUN_SYNTHESIS_20260916.md;GO2_SEED_SENSITIVITY.md;build_go2_run_reports.py;go2-analyst.md;go2-auditor.md;go2-planner.md;go2_claim_
회차 원장,문서,workspace/training/quadruped/reports/runs/CHRONOLOGY.md,YES,3990,`tools/build_go2_run_reports.py`가 산출물에서 생성한다. 사람이 고치지 않는다.,build_go2_run_reports.py;go2_reference_compass.py,,GO2_REFERENCE_COMPASS.md;GO2_RUN_SYNTHESIS_20260916.md;build_go2_run_reports.py;go2-auditor.md;go2_reference_compass.py
증거 CSV,문서,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919,YES,11,"인용 문서: ARTIFACT_MANAGEMENT.md, GO2_A038_REREAD_20260919.md, GO2_REFERENCE_COMPASS.md, README.md",build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py,test_go2_ang_vel_relax_audit_contract.py,ARTIFACT_MANAGEMENT.md;GO2_A038_REREAD_20260919.md;GO2_REFERENCE_COMPASS.md;README.md;build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/AXIS_RECON.csv,YES,4968,"열: arm,axis,weight,variant,uses_completion_factor,pairs_required,pairs_present,axis_scorable,axis_proxy_min,worst_case,wors",go2_a038_reread.py;go2_claim_check.py,,GO2_A038_REREAD_20260919.md;GO2_REFERENCE_COMPASS.md;README.md;go2_a038_reread.py;go2_claim_check.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/CASE_SUMMARY.csv,YES,19557,"열: arm,seed,case,summary_present,summary_path,survival_proxy,survival_proxy_v1,survival_proxy_v2,survival_proxy_source,trac",go2_a038_reread.py;go2_claim_check.py,,GO2_A038_REREAD_20260919.md;GO2_REFERENCE_COMPASS.md;README.md;go2_a038_reread.py;go2_claim_check.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/CLIMB_COUNT.csv,YES,574,"열: arm,seed,case,height_key,terrain_start_m,direction,robots,ge1,ge2,full",build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py,test_go2_ang_vel_relax_audit_contract.py,GO2_A038_REREAD_20260919.md;GO2_REFERENCE_COMPASS.md;README.md;build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/FALL_CHANNEL_PER_ENV.csv,YES,39549,"열: arm,seed,case,env_id,fall_by_height_channel,fall_by_tilt_channel,fall_by_either,max_continuous_low_height_s,max_continuo",go2_a038_reread.py,,GO2_A038_REREAD_20260919.md;GO2_G_A041_READOUT.md;GO2_REFERENCE_COMPASS.md;README.md;go2_a038_reread.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/FALL_CHANNEL_ROLLUP.csv,YES,1069,"열: arm,seed,case,n_envs,envs_fall_height_only,envs_fall_tilt_only,envs_fall_both_channels,envs_fall_either,max_terrain_z_sp",build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py,,ARTIFACT_MANAGEMENT.md;GO2_A038_REREAD_20260919.md;GO2_G_A041_READOUT.md;GO2_REFERENCE_COMPASS.md;README.md;build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/ROUGH_LATERAL_PER_ENV.csv,YES,64908,"열: arm,seed,case,env_id,rows,upright_frac,height_rel_mean,height_rel_min,height_rel_mean_last200,proj_grav_z_mean,proj_grav",go2_a038_reread.py,,GO2_A038_REREAD_20260919.md;GO2_REFERENCE_COMPASS.md;README.md;go2_a038_reread.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/ROUGH_LATERAL_ROLLUP.csv,YES,1698,"열: arm,seed,case,n_envs,envs_terminated,envs_base_contact,envs_upright_frac_ge_0p9,envs_hr_last200_below_gate,envs_tilted_l",build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py,,GO2_A038_REREAD_20260919.md;GO2_REFERENCE_COMPASS.md;README.md;build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/STAIRS10_PER_ENV.csv,YES,68055,"열: arm,seed,case,env_id,rows,upright_frac,height_rel_mean,height_rel_min,height_rel_mean_last200,proj_grav_z_mean,proj_grav",go2_a038_reread.py,,GO2_A038_REREAD_20260919.md;GO2_REFERENCE_COMPASS.md;README.md;go2_a038_reread.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/STAIRS10_ROLLUP.csv,YES,1704,"열: arm,seed,case,n_envs,envs_terminated,envs_base_contact,envs_upright_frac_ge_0p9,envs_hr_last200_below_gate,envs_tilted_l",build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py,,GO2_A038_REREAD_20260919.md;GO2_REFERENCE_COMPASS.md;README.md;build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py
