arm,seed,case,n_envs,envs_fall_height_only,envs_fall_tilt_only,envs_fall_both_channels,envs_fall_either,max_terrain_z_span_m,mean_terrain_z_span_m
A033,101,rough_lateral,32,0,9,5,14,0.022168337980056185,0.008520375917302096
A033,101,stairs_10_down,32,3,0,1,4,0.6743321138269761,0.3032599228588655
A033,202,rough_lateral,32,0,8,7,15,0.032557716981612424,0.007902122755101658
A033,202,stairs_10_down,32,12,0,2,14,0.6994660729392964,0.27951338170046475
A033,303,rough_lateral,32,0,13,3,16,0.030439142237372575,0.008962447949271788
A033,303,stairs_10_down,32,12,1,1,14,0.6192518326050457,0.31311964383099805
A041,101,rough_lateral,32,1,3,1,5,0.024296816657571225,0.007212537495210209
A041,101,stairs_10_down,32,30,0,0,30,0.37272891896293764,0.1689516707537646
A041,202,rough_lateral,32,3,1,8,12,0.033922521825780205,0.007257304727074935
A041,202,stairs_10_down,32,32,0,0,32,0.3716594369653712,0.1604456541372493
A041,303,rough_lateral,32,1,0,7,8,0.011442898429013824,0.005711339055535627
A041,303,stairs_10_down,32,29,0,2,31,0.3732639863529308,0.15466360707971502
