section,axis,case,seed,survival_v1,survival_v2,survival,xy_rmse,tracking_xy,progress_m,expected_m,completion,tracking,proxy,binding_factor,terminated,posture_fall,height_rel_median,kind
case,G1,forward_slow,101,1.0,1.0,1.0,0.1580427260286887,0.9049188453022429,,,,0.9049188453022429,0.9049188453022429,tracking_xy,0,0,0.37371764678687336,측정
case,G1,forward_slow,202,1.0,1.0,1.0,0.15058244939304,0.9132913867299373,,,,0.9132913867299373,0.9132913867299373,tracking_xy,0,0,0.371704475924293,측정
case,G1,forward_slow,303,1.0,1.0,1.0,0.16176028804764786,0.9006256746326089,,,,0.9006256746326089,0.9006256746326089,tracking_xy,0,0,0.37430418477976385,측정
case,G1,forward_nominal,101,1.0,1.0,1.0,0.11396777109104736,0.9493719565386185,,,,0.9493719565386185,0.9493719565386185,tracking_xy,0,0,0.35850917862698356,측정
case,G1,forward_nominal,202,1.0,1.0,1.0,0.11317065119756813,0.9500597656366279,,,,0.9500597656366279,0.9500597656366279,tracking_xy,0,0,0.3551515073062264,측정
case,G1,forward_nominal,303,1.0,1.0,1.0,0.11273749546457197,0.950431704769646,,,,0.950431704769646,0.950431704769646,tracking_xy,0,0,0.36068833424127034,측정
case,G1,forward_fast,101,1.0,1.0,1.0,0.17993730963033525,0.878526030135917,,,,0.878526030135917,0.878526030135917,tracking_xy,0,0,0.334406919817236,측정
case,G1,forward_fast,202,1.0,1.0,1.0,0.17630297822933613,0.8830875253974139,,,,0.8830875253974139,0.8830875253974139,tracking_xy,0,0,0.3299666548317129,측정
case,G1,forward_fast,303,1.0,1.0,1.0,0.17820938643468281,0.880703427265707,,,,0.880703427265707,0.880703427265707,tracking_xy,0,0,0.33752902625078823,측정
case,G2,backward,101,1.0,1.0,1.0,0.07799335068628475,0.9759617821146958,,,,0.9759617821146958,0.9759617821146958,tracking_xy,0,0,0.37442157660576114,측정
case,G2,backward,202,1.0,1.0,1.0,0.07616148836235817,0.977064814083736,,,,0.977064814083736,0.977064814083736,tracking_xy,0,0,0.3727446021561954,측정
case,G2,backward,303,1.0,1.0,1.0,0.07836447267542573,0.9757352766393984,,,,0.9757352766393984,0.9757352766393984,tracking_xy,0,0,0.37599265838370605,측정
case,G2,left,101,1.0,1.0,1.0,0.10545578323606251,0.9564912014170625,,,,0.9564912014170625,0.9564912014170625,tracking_xy,0,0,0.394704010795782,측정
case,G2,left,202,0.9375,0.9375,0.9375,0.11851885781409356,0.9453624513416503,,,,0.9453624513416503,0.8862772981327972,survival,2,2,0.3928810005838221,측정
case,G2,left,303,0.9375,0.9375,0.9375,0.10779996054791681,0.9545804771345534,,,,0.9545804771345534,0.8949191973136438,survival,2,2,0.39589011047613176,측정
case,G2,right,101,1.0,1.0,1.0,0.08100579004332488,0.9740937259619722,,,,0.9740937259619722,0.9740937259619722,tracking_xy,0,0,0.3772388742091184,측정
case,G2,right,202,1.0,1.0,1.0,0.08226280898192236,0.9732943943758725,,,,0.9732943943758725,0.9732943943758725,tracking_xy,0,0,0.3753189270827859,측정
case,G2,right,303,1.0,1.0,1.0,0.07951129014385028,0.9750288866972686,,,,0.9750288866972686,0.9750288866972686,tracking_xy,0,0,0.3784380600573545,측정
case,G2,diagonal_left,101,1.0,1.0,1.0,0.15841853609378326,0.9044884621218027,,,,0.9044884621218027,0.9044884621218027,tracking_xy,0,0,0.3591724982395529,측정
case,G2,diagonal_left,202,1.0,1.0,1.0,0.1538827551206679,0.9096279499375574,,,,0.9096279499375574,0.9096279499375574,tracking_xy,0,0,0.3560257936543959,측정
case,G2,diagonal_left,303,1.0,1.0,1.0,0.164397108174067,0.8975327790179309,,,,0.8975327790179309,0.8975327790179309,tracking_xy,0,0,0.3613519077313775,측정
case,G2,diagonal_right,101,1.0,1.0,1.0,0.12478550984409341,0.9396144063669369,,,,0.9396144063669369,0.9396144063669369,tracking_xy,0,0,0.3642174583227239,측정
case,G2,diagonal_right,202,1.0,1.0,1.0,0.11842065277675659,0.9454504446817488,,,,0.9454504446817488,0.9454504446817488,tracking_xy,0,0,0.36075720844421794,측정
case,G2,diagonal_right,303,1.0,1.0,1.0,0.1267889194953125,0.9377220269530474,,,,0.9377220269530474,0.9377220269530474,tracking_xy,0,0,0.3668634248449203,측정
case,G2,combined_yaw_left,101,1.0,1.0,1.0,0.1170284299310648,0.9466909232720895,,,,0.9341558343462585,0.9341558343462585,tracking_yaw,0,0,0.36920360137115826,측정
case,G2,combined_yaw_left,202,1.0,1.0,1.0,0.1122617091803572,0.9508387726115463,,,,0.9350603500058998,0.9350603500058998,tracking_yaw,0,0,0.3661391390836175,측정
case,G2,combined_yaw_left,303,1.0,1.0,1.0,0.12196963532965151,0.9422295336713647,,,,0.9311603910062873,0.9311603910062873,tracking_yaw,0,0,0.37049536980728415,측정
case,G2,combined_yaw_right,101,1.0,1.0,1.0,0.17371616523270564,0.8862916342406278,,,,0.8862916342406278,0.8862916342406278,tracking_xy,0,0,0.3612358154141329,측정
case,G2,combined_yaw_right,202,1.0,1.0,1.0,0.16745776542409363,0.8938937016787766,,,,0.8938937016787766,0.8938937016787766,tracking_xy,0,0,0.3590505792495401,측정
case,G2,combined_yaw_right,303,1.0,1.0,1.0,0.1808080923629495,0.8774228348026246,,,,0.8774228348026246,0.8774228348026246,tracking_xy,0,0,0.3626098184183957,측정
case,G3,rough_forward,101,1.0,0.96875,0.96875,0.2584487338303933,0.7655329721808383,,,,0.7655329721808383,0.741610066800187,tracking_xy,0,1,0.3473940262979365,측정
